region_name,n_voxels_region,n_voxels_overlap,fraction_covered,mean_overlap,weighted_mean_overlap,sum_overlap,p90_overlap,p95_overlap
R_Supplementary_motor_area_(Frontal_lobe_Medial_Surface),13747,2558,0.1860769622463083,0.1860769622463083,0.1860769622463083,2558.0,1.0,1.0
R_Inferior_frontal_gyrus_triangular_part,40374,5067,0.12550156041016497,0.12550156041016497,0.12550156041016497,5067.0,1.0,1.0
R_Inferior_frontal_gyrus_orbital_part,11174,830,0.07427957759083587,0.07427957759083587,0.07427957759083587,830.0,1.0,1.0
R_Orbitofrontal_cortex_posterior,14128,1016,0.07191392978482446,0.07191392978482446,0.07191392978482446,1016.0,1.0,1.0
R_Rolandic_operculum,17132,629,0.036714919448984355,0.036714919448984355,0.036714919448984355,629.0,1.0,1.0
R_Inferior_frontal_gyrus_opercular_part,8057,279,0.03462827355094948,0.03462827355094948,0.03462827355094948,279.0,1.0,1.0
R_Precentral_gyrus,27058,608,0.02247024909453766,0.02247024909453766,0.02247024909453766,608.0,1.0,1.0
R_Paracentral_lobule,8510,169,0.019858989424206816,0.019858989424206816,0.019858989424206816,169.0,1.0,1.0
R_Superior_frontal_gyrus_dorsolateral,32089,513,0.01598678674935336,0.01598678674935336,0.01598678674935336,513.0,1.0,1.0
R_Olfactory_cortex,10733,61,0.005683406316966366,0.005683406316966366,0.005683406316966366,61.0,1.0,1.0
R_Precuneus,7941,26,0.003274146832892583,0.003274146832892583,0.003274146832892583,26.0,1.0,1.0
R_Inferior_occipital_gyrus,30652,44,0.0014354691374135456,0.0014354691374135456,0.0014354691374135456,44.0,1.0,1.0
R_Insula,17442,10,0.0005733287467033597,0.0005733287467033597,0.0005733287467033597,10.0,1.0,1.0
R_Superior_parietal_gyrus,15770,2,0.00012682308180088776,0.00012682308180088776,0.00012682308180088776,2.0,1.0,1.0
