region_name,n_voxels_region,n_voxels_overlap,fraction_covered,mean_overlap,weighted_mean_overlap,sum_overlap,sum_atlas_in_tract,pwll_normalised,max_atlas_prob_in_overlap,continuous_dice,p90_overlap,p95_overlap
Corticobulbar_Tract_R,35042,8406,0.23988356828948118,0.23988356828948118,0.21908538065868055,8406.0,5254.993314363179,1.5996214451927753,0.9478178024291992,1.2306572159964275,1.0,1.0
Corticospinal_Tract_R,69268,12251,0.17686377548074148,0.17686377548074148,0.2707029481758263,12251.0,15256.06613562617,0.8030248355695903,0.9840375781059265,0.8907529388699831,1.0,1.0
Arcuate_Fasciculus_R,116261,17397,0.14963745366029882,0.14963745366029882,0.1880171630419822,17397.0,14646.617476134794,1.1877827784023636,0.8432122468948364,1.0858324602680585,1.0,1.0
Superior_Longitudinal_Fasciculus2_R,179004,24709,0.13803602154141806,0.13803602154141806,0.16001241813195932,24709.0,29050.4280155116,0.8505554543570416,0.9774647951126099,0.9192434113276106,1.0,1.0
Frontal_Aslant_Tract_R,77604,10601,0.13660378331013864,0.13660378331013864,0.16659211338658686,10601.0,14691.569407201489,0.7215702901559053,0.9154930114746094,0.8382699147190324,1.0,1.0
Thalamic_Radiation_Anterior_R,105201,13656,0.12980865200901132,0.12980865200901132,0.18441411922297302,13656.0,21447.545172423997,0.6367162251071087,1.0,0.778041074365767,1.0,1.0
Corticopontine_Tract_Frontal_R,190168,22730,0.11952589289470363,0.11952589289470363,0.1787784406110359,22730.0,20028.18458484544,1.1349006647960955,0.9887323975563049,1.0631882630515643,1.0,1.0
Corticostriatal_Tract_Superior_R,208622,24595,0.11789264794700463,0.11789264794700463,0.22747991463787098,24595.0,34701.90798220254,0.708750654650285,1.0,0.8295542157908801,1.0,1.0
Reticulospinal_Tract_R,183138,21166,0.115574047985672,0.115574047985672,0.15181993022314702,21166.0,23555.35839100537,0.8985641249288846,0.9380282163619995,0.9465723207664029,1.0,1.0
Corticostriatal_Tract_Anterior_R,129310,14417,0.11149176397803727,0.11149176397803727,0.14861781382001096,14417.0,27684.15004533209,0.5207672974027567,0.9699530601501465,0.6848744029308751,1.0,1.0
Thalamic_Radiation_Superior_R,236782,23942,0.1011141049573025,0.1011141049573025,0.19734096382676788,23942.0,35109.62067250005,0.6819213520797962,0.9868544936180115,0.810883756528282,1.0,1.0
Superior_Longitudinal_Fasciculus3_R,93691,8220,0.08773521469511479,0.08773521469511479,0.07846789568064497,8220.0,20146.142322654603,0.40801856099053274,0.9990610480308533,0.5795641794714611,1.0,1.0
Inferior_Fronto_Occipital_Fasciculus_R,169502,10718,0.0632322922443393,0.0632322922443393,0.09317516755841083,10718.0,38625.10432292492,0.2774879236672666,0.9868544936180115,0.43442747054811437,1.0,1.0
Superior_Longitudinal_Fasciculus1_R,53257,2044,0.03837993127663969,0.03837993127663969,0.01839797557948842,2044.0,9730.505426321004,0.21006103079404106,0.7812206745147705,0.34719080351872694,1.0,1.0
Corpus_Callosum_Forceps_Minor,271916,10108,0.03717324467850366,0.03717324467850366,0.01583541759435431,10108.0,58192.60812395124,0.17369903714351123,0.9765258431434631,0.2959856515964281,1.0,1.0
Cingulum_Frontal_Parahippocampal_R,39318,1430,0.03637011038201333,0.03637011038201333,0.018150002225604953,1430.0,5933.081850229413,0.2410214515993415,0.7399061322212219,0.3884243117453448,1.0,1.0
Corpus_Callosum_Body,530090,18562,0.035016695278160315,0.035016695278160315,0.04371699097945683,18562.0,130768.44563659455,0.1419455581171607,1.0,0.24860302158572334,1.0,1.0
Corticopontine_Tract_Parietal_R,102022,3334,0.032679226049283486,0.032679226049283486,0.04637641685537569,3334.0,8612.581460086163,0.38710809476240887,0.9211267828941345,0.5581513023016634,1.0,1.0
Cingulum_Frontal_Parietal_R,59306,1441,0.02429771018109466,0.02429771018109466,0.01018184631790888,1441.0,14547.755314364797,0.09905308199520806,0.9633803367614746,0.18025167959201435,1.0,1.0
Uncinate_Fasciculus_R,50011,1146,0.022914958709084002,0.022914958709084002,0.0010641945586679145,1146.0,8322.104447411257,0.13770555359425757,0.1774647980928421,0.24207590999132592,1.0,1.0
Corticostriatal_Tract_Posterior_R,119578,2565,0.02145043402632591,0.02145043402632591,0.017279258068196975,2565.0,19163.4145988588,0.1338487974973285,0.9446009397506714,0.23609637862255414,1.0,1.0
Middle_Longitudinal_Fasciculus_R,52871,821,0.015528361483611053,0.015528361483611053,0.020523713582009592,821.0,8032.428772137035,0.10221067914699632,0.9266917705535889,0.18546486816131635,1.0,1.0
Thalamic_Radiation_Posterior_R,82498,740,0.00896991442216781,0.00896991442216781,0.010882687101991702,740.0,14052.470799213334,0.052659778523889596,0.939906120300293,0.10005089887206042,1.0,1.0
Corticopontine_Tract_Occipital_R,126116,807,0.006398870880776428,0.006398870880776428,0.001568073672038075,807.0,8395.315994702978,0.09612502977960287,0.267857164144516,0.17539063002499022,1.0,1.0
